top_q,N,dim,kernel,eps,m,pre,eig,precond,solve,mean,total,iters,eepm,rms,rmse_ex
4,100000,1,Mat12,0.0001,1555,0.012604299932718277,0.020162400091066957,6.79998192936182e-05,0.0857649000827223,0.0036335999611765146,0.12223319988697767,117,nan,0.3004295516335329,nan
4,10000000,1,Mat12,0.0001,1555,0.25237619993276894,0.022009999956935644,6.850017234683037e-05,0.037409699987620115,0.12772929994389415,0.4395936999935657,47,nan,0.3030933366072721,nan
4,1000,2,Mat12,0.001,97,0.025603599846363068,0.2864855998195708,0.00039190007373690605,0.4612094999756664,0.003065799828618765,0.7767563995439559,37,nan,0.3492324106802447,nan
4,100000,2,Mat12,0.001,97,0.0333256998565048,0.2727447000797838,0.0003934998530894518,1.5752548999153078,0.006363000022247434,1.8880817997269332,129,nan,0.30393947600490456,nan
4,10000000,2,Mat12,0.001,97,1.4338096999563277,0.2707493999041617,0.00039279996417462826,0.607718100072816,0.4842306999489665,2.7969006998464465,49,nan,0.29611948431378887,nan
4,1000,3,Mat12,0.005,23,0.1299003001768142,1.2202079999260604,0.0016351998783648014,1.0746287999209017,0.016909500118345022,2.443281800020486,19,nan,0.4512052802539785,nan
4,100000,3,Mat12,0.005,23,0.1376775000244379,1.2137390999123454,0.0010661999695003033,4.375488999998197,0.023416099837049842,5.75138789974153,78,nan,0.31842939161539713,nan
4,10000000,3,Mat12,0.005,23,2.248842300148681,1.2234926000237465,0.001215500058606267,1.882309899898246,0.9101144000887871,6.265974700218067,33,nan,0.300218571753683,nan
8,1000,1,SE,0.0001,13,0.10793619998730719,0.002113000024110079,5.13000413775444e-05,0.0006783001590520144,0.0023181000724434853,0.11309690028429031,7,nan,0.2996815079575704,nan
8,100000,1,SE,0.0001,13,0.009686200181022286,0.0016711000353097916,4.100007936358452e-05,0.0006037000566720963,0.0032997000962495804,0.01530170044861734,6,nan,0.30308921374978764,nan
8,10000000,1,SE,0.0001,13,0.2564385000150651,0.0014672998804599047,4.300009459257126e-05,0.0005787999834865332,0.14746550004929304,0.4059931000228971,6,nan,0.3031530589502025,nan
8,1000,2,SE,0.0001,16,0.010144800180569291,0.010828299913555384,9.210011921823025e-05,0.021029500057920814,0.0034205999691039324,0.04551530024036765,52,nan,0.3167862243339647,nan
8,100000,2,SE,0.0001,16,0.02300759986974299,0.011190199991688132,9.820004925131798e-05,0.06132390000857413,0.0077454999554902315,0.1033653998747468,159,nan,0.29667278176242906,nan
8,10000000,2,SE,0.0001,16,1.406514500034973,0.011115700006484985,6.480002775788307e-05,0.03652710001915693,0.5198342001531273,1.9740563002415001,105,nan,0.29621208884841566,nan
8,1000,3,SE,0.001,17,0.05344739998690784,0.49806879996322095,0.0017794000450521708,0.6237483001314104,0.018440099898725748,1.195484000025317,30,nan,0.4022993097416541,nan
8,100000,3,SE,0.001,17,0.05801849998533726,0.3836176998447627,0.0008865999989211559,2.7369140000082552,0.02560660010203719,3.2050433999393135,125,nan,0.3025061677967258,nan
8,10000000,3,SE,0.001,17,1.8533661998808384,0.5170136999804527,0.0013729999773204327,1.5953898001462221,1.014118199935183,4.9812608999200165,77,nan,0.299962863283594,nan
8,1000,1,Mat12,0.0001,1554,0.04001690004952252,0.02220060001127422,9.300000965595245e-05,0.028254699893295765,0.002447300124913454,0.09301250008866191,33,nan,0.3385442387106282,nan
8,100000,1,Mat12,0.0001,1555,0.012604299932718277,0.02492220001295209,0.00021570012904703617,0.08466020016930997,0.004702999955043197,0.12710540019907057,95,nan,0.30035027686351506,nan
8,10000000,1,Mat12,0.0001,1555,0.25237619993276894,0.022494700038805604,8.999998681247234e-05,0.03162609995342791,0.13350069988518953,0.44008769979700446,36,nan,0.3030971477086946,nan
8,1000,2,Mat12,0.001,97,0.025603599846363068,0.30145530006848276,0.0009005998726934195,0.4303834999445826,0.004150099819526076,0.7624930995516479,32,nan,0.3492478167843387,nan
