Dataset,N,Kernel,reg_lambda,Method,method,top-k,|B|,q,Iter.,T_solve,T_total,RMSE,RMSE / RMSE_EFGP,Speedup
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_35721_q192,35721.0,35721.0,192.0,1345.0,2.6561828740004785,3.180873588000395,0.027640938767031,0.9997724349706536,4.866986055781143
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_35721_q256,35721.0,35721.0,256.0,978.0,2.426315245999831,2.951126896999994,0.027640952774076,0.9997729416053089,5.245883331461665
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_35721_q320,35721.0,35721.0,320.0,770.0,1.9970547430002623,2.521850903000086,0.0276409452627928,0.9997726699222826,6.138851182511772
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_35721_q384,35721.0,35721.0,384.0,608.0,3.4576240349997533,3.982323749999523,0.0276409874797002,0.9997741969073342,3.8874959370147417
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_35721_q448,35721.0,35721.0,448.0,504.0,1.87221617600062,2.397169820000272,0.0276410140473832,0.9997751578601205,6.458143794751554
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,SE,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,87.0,0.1590054970001801,0.6696946860001844,0.1288735709569454,0.9996552582705043,18.239543214767156
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,SE,0.1,Active inverse,btab_auto_topk_1024,1024.0,1225.0,,15.0,0.0670536929997069,0.577233643999989,0.1288735751682132,0.9996552909367521,21.161145565521675
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q128,256.0,361.0,128.0,1330.0,2.686474508000174,3.196726873999978,0.1288737378931622,0.999656553172676,3.8210725055519297
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q128,512.0,625.0,128.0,1152.0,2.1512721619997137,2.661519152999972,0.1288735744443751,0.9996552853220356,4.589456045143257
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q256,512.0,625.0,256.0,110.0,0.9214325390003067,1.432342353000422,0.1288735843684522,0.99965536230179,8.527936872363563
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_768_q128,768.0,961.0,128.0,755.0,1.5055485240000053,2.015600324999923,0.128873574733166,0.9996552875621483,6.060192099840404
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_768_q256,768.0,961.0,256.0,72.0,0.5939805879997948,1.10414558399998,0.1288735745147123,0.9996552858676317,11.06278496513962
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,674.0,1.0194596689998434,1.0558142969998698,0.0306542985029001,0.9975058551432162,3.2545652069347293
