dataset_stem,eps,method,precompute_mode,selector_tag,btab_eig_q,btab_active_size_raw,btab_box_size,btab_eig_size_S,btab_eig_size_T,rho_max_T,tail_energy,epsilon_T,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,theta_q1_over_sigma2,btab_eig_eig_residual_max,btab_eig_eig_residual_median,eta_eig,eta_eig_sq,btab_eig_storage_bytes,btab_eig_n_eig_matvec,btab_eig_n_ABB_matvec_cols,btab_eig_ncv_actual,btab_eig_backend,cg_iters,outer_iters,time_eig_setup,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
synthetic_true_func_2d_n10000000,1e-05,btab_boxeig_topk_8192_q192,c1,topk_8192,192.0,8192.0,10609.0,10609.0,25112.0,18.400346579650652,68148.36962691823,2.525161681666097,2983.8751559467178,29838.75155946717,29838.75155946717,4.340692816581875e-14,2.834753241264944e-15,0.4223737205894975,0.1783995598446149,32593920.0,418.0,418.0,418.0,cupy,106,106.0,0.3776466809999874,0.3814949779998642,0.5804839120000906,0.6529004789999817,0.1760111429998687,0.8289116219998505,0.0199958352712771,0.0005656528492651
synthetic_true_func_2d_n100000000,1e-05,btab_boxeig_topk_16384_q128,c1,topk_16384,128.0,16384.0,21025.0,21025.0,14696.0,34.18047217727249,160856.4409178191,2.5863794892807217,69240.84380389264,692408.4380389263,692408.4380389263,1.595635911938196e-14,1.4631406378768856e-15,0.2384778858037692,0.0568717020174355,43061248.0,290.0,290.0,290.0,cupy,176,176.0,0.445173172000068,0.4499050009999337,0.7980007359997217,1.3151943929997287,0.1479293899997174,1.463123782999446,0.0199976924051981,0.000199774426211
synthetic_true_func_2d_n100000000,1e-05,btab_boxeig_topk_16384_q192,c1,topk_16384,192.0,16384.0,21025.0,21025.0,14696.0,34.18047217727249,160856.4409178191,2.586379489280721,29820.64950125004,298206.4950125004,298206.4950125004,4.663272628214753e-14,2.313338044893523e-15,0.2733811636304286,0.0747372606279272,64591872.0,418.0,418.0,418.0,cupy,106,106.0,0.3567501739998988,0.3615149960000963,0.5613044360002277,1.0782049630001893,0.1743094989997189,1.2525144619999082,0.0199977503213693,0.0002036927225869
synthetic_true_func_2d_n100000000,1e-05,btab_boxeig_topk_16384_q256,c1,topk_16384,256.0,16384.0,21025.0,21025.0,14696.0,34.18047217727249,160856.4409178191,2.5863794892807217,15021.01048397846,150210.1048397846,150210.1048397846,5.132216987115285e-14,3.4468865119077466e-15,0.3026296344397997,0.0915846956411667,86122496.0,546.0,546.0,546.0,cupy,72,72.0,0.4707440930001212,0.4756411610001123,0.6164294029999837,1.1334929129998272,0.1996947229999932,1.3331876359998205,0.0199978047488559,0.0002082487089209
synthetic_true_func_2d_n100000000,1e-05,btab_boxeig_topk_4096_q128,c1,topk_4096,128.0,4096.0,5329.0,5329.0,30392.0,983.8544567550232,2124139.937395191,2.69979302907093,69239.3717867045,692393.717867045,692393.717867045,2.231673984862616e-14,1.4361695889052669e-15,0.5532355206638241,0.3060695413241725,10915840.0,290.0,290.0,290.0,cupy,184,184.0,0.2369229630003246,0.2402179189998605,0.5710270390000005,1.088220655999976,0.1493612489998668,1.2375819049998429,0.0199975173163364,0.0002013882721885
synthetic_true_func_2d_n100000000,1e-05,btab_boxeig_topk_4096_q192,c1,topk_4096,192.0,4096.0,5329.0,5329.0,30392.0,983.854456755023,2124139.9373951904,2.699793029070931,29819.1066502919,298191.0665029189,298191.0665029189,2.295124859520573e-14,2.043746382211715e-15,0.6372156989999893,0.406043847052045,16373760.0,418.0,418.0,418.0,cupy,144,144.0,0.9934235810001156,0.996902726999906,1.264145938999718,1.7811117059995922,0.174351445999946,1.9554631519995385,0.0199975084771372,0.0001988458458507
synthetic_true_func_2d_n100000000,1e-05,btab_boxeig_topk_8192_q128,c1,topk_8192,128.0,8192.0,10609.0,10609.0,25112.0,184.00350583793917,681483.8456139695,2.672108516652033,69240.67106148634,692406.7106148633,692406.7106148633,1.0502491699601015e-14,1.6267717981316242e-15,0.3970449053277243,0.1576446568467015,21729280.0,290.0,290.0,290.0,cupy,192,192.0,0.2383449690000816,0.2421523329999217,0.5877519579998989,1.1051436919997286,0.1489640940003482,1.2541077860000769,0.0199976008221365,0.0002148869601783
synthetic_true_func_2d_n100000000,1e-05,btab_boxeig_topk_8192_q192,c1,topk_8192,192.0,8192.0,10609.0,10609.0,25112.0,184.00350583793917,681483.8456139695,2.672108516652033,29820.46796488893,298204.6796488893,298204.6796488893,2.4396882656462737e-14,2.1655416814306397e-15,0.4563426568530299,0.2082486204636822,32593920.0,418.0,418.0,418.0,cupy,133,133.0,0.3598190200000317,0.3636655639998025,0.6099951549999787,1.1268559479999567,0.1772167670001181,1.3040727150000748,0.0199976030285406,0.000215730715917
synthetic_true_func_2d_n30000000,1e-05,btab_boxeig_topk_16384_q128,c1,topk_16384,128.0,16384.0,21025.0,21025.0,14696.0,10.254141230310388,48256.93027999157,2.406935776234885,20763.029046194984,207630.29046194983,207630.29046194983,1.3738181481072404e-14,1.5343260077989802e-15,0.2226413775180038,0.0495691829831143,43061248.0,290.0,290.0,290.0,cupy,183,183.0,0.2366412100000161,0.2412770130003991,0.5713220540001203,0.7422888500000226,0.1488678609998714,0.8911567109998941,0.0200008057471218,0.0003410927217908
synthetic_true_func_2d_n30000000,1e-05,btab_boxeig_topk_16384_q192,c1,topk_16384,192.0,16384.0,21025.0,21025.0,14696.0,10.254141230310388,48256.93027999156,2.406935776234886,8947.578201963188,89475.78201963188,89475.78201963188,2.682700995535705e-14,1.9854059721348745e-15,0.255220795897422,0.0651376546585135,64591872.0,418.0,418.0,418.0,cupy,116,116.0,0.3586004320000029,0.3634472290000303,0.578888927999742,0.7513677299998562,0.1726893439999912,0.9240570739998476,0.0200008463000565,0.0003396813302488
synthetic_true_func_2d_n30000000,1e-05,btab_boxeig_topk_16384_q256,c1,topk_16384,256.0,16384.0,21025.0,21025.0,14696.0,10.254141230310388,48256.93027999157,2.406935776234885,4505.9578008201215,45059.57800820121,45059.57800820121,3.408818159185594e-14,4.7168840126987006e-15,0.282547277789671,0.0798329641863535,86122496.0,546.0,546.0,546.0,cupy,75,75.0,0.4747983629999908,0.4796339009999428,0.6264603929998884,0.7972858439998163,0.1960097259998292,0.9932955699996456,0.020000947843242,0.0003402529606663
synthetic_true_func_2d_n30000000,1e-05,btab_boxeig_topk_4096_q128,c1,topk_4096,128.0,4096.0,5329.0,5329.0,30392.0,295.1563251607136,637241.9552057745,2.6938491399842834,20762.586806567764,207625.86806567764,207625.86806567764,1.063474580677206e-14,1.396988369286057e-15,0.5437338052147922,0.2956464509333575,10915840.0,290.0,290.0,290.0,cupy,136,136.0,0.8672825560001911,0.8706493069998942,1.123980486000164,1.2951856970003064,0.1527239950000876,1.447909692000394,0.0200006140661537,0.000349861823441
