profile_label,kernel_family,rank,cumulative_rho_mass,M,mtot,h,eps,reg_lambda
"SE kernel, M=1225",SE,420,0.9999524315523333,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,428,0.9999606829071277,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,435,0.9999670147437555,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,443,0.999971918471955,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,451,0.9999758677960938,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,459,0.9999797463959302,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,467,0.9999832862096877,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,476,0.9999867562977154,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,484,0.9999894069868585,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,493,0.9999915782973611,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,502,0.9999931971272726,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,511,0.999994481466075,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,520,0.9999954518142773,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,530,0.99999627518756,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,539,0.9999969681052672,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,549,0.9999976764612991,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,559,0.9999981777619801,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,569,0.9999985556335435,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,579,0.9999988780581531,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,589,0.9999991305474448,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,600,0.9999993290652597,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,611,0.9999994687615746,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,622,0.9999995821259281,1225,35,0.6136320380054119,1e-05,0.1
"SE kernel, M=1225",SE,633,0.9999996732093767,1225,35,0.6136320380054119,1e-05,0.1
