dataset_stem,eps,selector_tag,route,method,btab_eig_q,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_test
synthetic_true_func_2d_n1000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q64,64.0,512,625,35096,1313.5162514396102,462889.7870762957,25143.470578862405,4.811112762346255e-15,231,231,0.194677599996794,0.9327958999929252,1.024738599997363,0.0403619999997317,1.0651005999970948,0.0012482312206247
synthetic_true_func_2d_n1000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q128,128.0,512,625,35096,1313.5162514396102,462889.7870762957,6816.580303956343,1.4854154745678736e-14,214,214,0.3890707999962615,1.0689752999896882,1.164986099989619,0.0781973999983165,1.2431834999879356,0.0012480010433838
synthetic_true_func_2d_n1000000,1e-05,topk_512,inverse,btab_auto_topk_512,,512,625,35096,1313.5162514396102,462889.7870762957,,,186,186,0.1327526999957626,0.7504063000087626,0.843322700005956,0.008032900004764,0.8513556000107201,0.0012488743518179
synthetic_true_func_2d_n3000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q32,32.0,1024,1369,34352,720.4550297587765,477730.621178876,230595.22591552764,2.9449439275871058e-15,472,472,0.1151730999990832,1.615220199993928,1.87081279999984,0.0250280999898677,1.8958408999897076,0.0008836978358169
synthetic_true_func_2d_n3000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q64,64.0,1024,1369,34352,720.4550297587765,477730.621178876,75515.69610082595,3.407480545283227e-15,252,252,0.2058709999982966,1.007637100003194,1.2696579000039492,0.0397808999987319,1.309438800002681,0.000883228410024
synthetic_true_func_2d_n3000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q128,128.0,1024,1369,34352,720.4550297587765,477730.621178876,20735.776040846493,1.1249232057608756e-14,164,164,0.3535843999998178,0.890792699996382,1.1458496999985073,0.0814802999957464,1.2273299999942535,0.0008802095756929
synthetic_true_func_2d_n3000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,,1024,1369,34352,720.4550297587765,477730.621178876,,,134,134,0.1134757999971043,0.7567721999948844,1.011888099994394,0.0002239000023109,1.012111999996705,0.0008808311987469
synthetic_true_func_2d_n3000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q32,32.0,512,625,35096,3940.552263332442,1388670.7690064183,230475.79093510236,2.0666653106620588e-15,499,499,0.1784542999957921,1.8731149000086589,2.1302182000072207,0.0205025999894132,2.150720799996634,0.0008813052999465
synthetic_true_func_2d_n3000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q64,64.0,512,625,35096,3940.552263332442,1388670.7690064183,75318.31997882343,4.030638539053038e-15,284,284,0.1899489999923389,1.0633737000025576,1.3170833000040147,0.0432088000088697,1.3602921000128845,0.0008815090424666
synthetic_true_func_2d_n3000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q128,128.0,512,625,35096,3940.552263332442,1388670.7690064183,20455.632056716808,1.0431052611751335e-14,228,228,0.3563359999970998,1.0822461000061594,1.335342500009574,0.0780407999991439,1.413383300008718,0.0008773710135406
synthetic_true_func_2d_n3000000,1e-05,topk_512,inverse,btab_auto_topk_512,,512,625,35096,3940.552263332442,1388670.7690064183,,,256,256,0.0235710999986622,0.8644698999996763,1.119697100002668,0.0002179000002797,1.1199150000029476,0.0008811440166237
